level,measure,n,mean,std,min,p10,p25,median,p75,p90,p95,max
L1,hint_tokens,29434,657.333525854454,277.78083763016593,58,322.0,454.0,630.0,826.0,1021.7000000000007,1147.0,2887
L1,interface_overhead,29434,77.08690629883807,0.28194359722260043,76,77.0,77.0,77.0,77.0,77.0,78.0,78
L1,privileged_increment,29434,734.4204321532922,277.7571104512254,135,399.0,531.0,707.0,903.0,1098.7000000000007,1224.0,2964
L1,teacher_prompt_tokens,29434,834.9995243595841,295.1401116805815,191,478.0,622.0,808.0,1013.0,1217.0,1351.0,3289
L2,hint_tokens,29434,38.87932323163688,7.03131444849422,18,31.0,34.0,38.0,43.0,48.0,51.0,106
L2,interface_overhead,29434,86.00645511992933,0.08008538728166105,86,86.0,86.0,86.0,86.0,86.0,86.0,87
L2,privileged_increment,29434,124.88577835156622,7.0383720152035165,104,117.0,120.0,124.0,129.0,134.0,137.0,192
L2,teacher_prompt_tokens,29434,225.46487055785826,56.17961152047427,142,178.0,193.0,215.0,244.0,280.0,308.0,1882
L3,hint_tokens,29434,25.161411972548752,4.674903781545835,12,20.0,22.0,25.0,28.0,32.0,34.0,49
L3,interface_overhead,29434,87.00016987157709,0.013032593418856948,87,87.0,87.0,87.0,87.0,87.0,87.0,88
L3,privileged_increment,29434,112.16158184412583,4.675075966804625,99,107.0,109.0,112.0,115.0,119.0,121.0,136
L3,teacher_prompt_tokens,29434,212.74067405041788,55.523978843228804,136,167.0,181.0,202.0,231.0,266.0,294.0,1875
L4,hint_tokens,29434,17.745498403207176,3.0393545972736997,9,14.0,16.0,18.0,20.0,22.0,23.0,37
L4,interface_overhead,29434,85.00006794863083,0.008242955916929305,85,85.0,85.0,85.0,85.0,85.0,85.0,86
L4,privileged_increment,29434,102.74556635183801,3.039371464881546,94,99.0,101.0,103.0,105.0,107.0,108.0,122
L4,teacher_prompt_tokens,29434,203.32465855813007,55.36366784406583,126,158.0,172.0,192.0,221.0,256.0,284.0,1869
L5,hint_tokens,29434,6.699293334239315,9.263661608801536,1,1.0,2.0,4.0,8.0,15.0,23.0,288
L5,interface_overhead,29434,76.67068696065775,0.4702608523403718,75,76.0,76.0,77.0,77.0,77.0,77.0,77
L5,privileged_increment,29434,83.36998029489706,9.07543016598132,77,78.0,79.0,81.0,84.0,91.0,99.0,364
L5,teacher_prompt_tokens,29434,183.9490725011891,56.12970908072429,112,138.0,152.0,173.0,202.0,238.0,267.0,1845
global,nohint_teacher_prompt_tokens,29434,100.57909220629205,54.840826670891694,32,56.0,69.0,89.0,118.0,153.0,180.0,1767
global,problem_tokens,29434,75.46103146021608,54.83268899966158,7,31.0,44.0,64.0,93.0,128.0,155.0,1742
global,student_prompt_tokens,29434,104.57909220629205,54.840826670891694,36,60.0,73.0,93.0,122.0,157.0,184.0,1771
