scale,level,rule,mean_delta,sample_sd,ahead,tied,seeds,seed42_delta,seed43_delta,seed44_delta
1.7B,L3,per_benchmark_peak,-0.123456790123,0.855333732133,2,0,3,-1.11111111111,0.37037037037,0.37037037037
1.7B,L3,best_common,-0.123456790123,0.466039162671,1,0,3,-0.555555555556,-0.185185185185,0.37037037037
1.7B,L3,all_checkpoint_mean,-0.135030864198,0.700717551426,1,0,3,-0.775462962963,0.613425925926,-0.243055555556
1.7B,L3,step200,-0.833333333333,2.32958252322,1,0,3,-2.31481481481,1.85185185185,-2.03703703704
1.7B,L4,per_benchmark_peak,0,0.333847340321,1,0,3,-0.277777777778,0.37037037037,-0.0925925925926
1.7B,L4,best_common,0.0617283950617,0.0534583582583,2,1,3,0.0925925925926,0,0.0925925925926
1.7B,L4,all_checkpoint_mean,-0.320216049383,0.67590346445,1,0,3,-1.06481481481,0.25462962963,-0.150462962963
1.7B,L4,step200,-1.32716049383,2.04194134655,1,0,3,-3.05555555556,0.925925925926,-1.85185185185
4B,L3,per_benchmark_peak,0.70987654321,0.694958657358,2,1,3,1.38888888889,0,0.740740740741
4B,L3,best_common,0.895061728395,0.233019581336,3,0,3,0.925925925926,1.11111111111,0.648148148148
4B,L3,all_checkpoint_mean,1.0262345679,0.145637238335,3,0,3,0.891203703704,1.18055555556,1.00694444444
4B,L3,step200,1.66666666667,0.73493091974,3,0,3,0.833333333333,2.22222222222,1.94444444444
4B,L4,per_benchmark_peak,0.956790123457,0.213833433033,3,0,3,1.2037037037,0.833333333333,0.833333333333
4B,L4,best_common,1.63580246914,0.595287084012,3,0,3,2.31481481481,1.38888888889,1.2037037037
4B,L4,all_checkpoint_mean,1.01466049383,0.319983553854,3,0,3,0.648148148148,1.23842592593,1.15740740741
4B,L4,step200,1.04938271605,1.31707335144,2,0,3,1.66666666667,1.94444444444,-0.462962962963
8B,L3,per_benchmark_peak,0.246913580247,0.65034899709,2,0,3,0.185185185185,0.925925925926,-0.37037037037
8B,L3,best_common,0.617283950617,0.437575520949,3,0,3,1.11111111111,0.277777777778,0.462962962963
8B,L3,all_checkpoint_mean,0.493827160494,0.335914113442,3,0,3,0.509259259259,0.150462962963,0.821759259259
8B,L3,step200,0.277777777778,0.32075014955,3,0,3,0.0925925925926,0.0925925925926,0.648148148148
8B,L4,per_benchmark_peak,0.493827160494,0.374208507808,3,0,3,0.555555555556,0.833333333333,0.0925925925926
8B,L4,best_common,0.802469135802,0.808971754449,2,0,3,1.48148148148,1.01851851852,-0.0925925925926
8B,L4,all_checkpoint_mean,0.621141975309,0.134146131564,3,0,3,0.775462962963,0.532407407407,0.555555555556
8B,L4,step200,0.216049382716,1.05300753761,1,0,3,-0.648148148148,1.38888888889,-0.0925925925926
