scale,seed,level,best_common_step,per_benchmark_peak,best_common,all_checkpoint_mean,step200
1.7B,42,L1,75,43.8888888889,42.4074074074,41.0532407407,42.3148148148
1.7B,42,L2,125,40.8333333333,39.4444444444,38.5185185185,37.5925925926
1.7B,42,L3,150,42.7777777778,41.8518518519,40.2777777778,40
1.7B,42,L4,75,43.6111111111,42.5,39.9884259259,39.2592592593
1.7B,42,L5,50,42.1296296296,40.2777777778,38.7384259259,40.1851851852
1.7B,43,L1,75,42.5925925926,42.5925925926,40.150462963,38.8888888889
1.7B,43,L3,150,42.962962963,42.4074074074,40.7638888889,40.7407407407
1.7B,43,L4,100,42.962962963,42.5925925926,40.4050925926,39.8148148148
1.7B,44,L1,100,42.5,41.7592592593,40.4861111111,41.1111111111
1.7B,44,L3,100,42.8703703704,42.1296296296,40.2430555556,39.0740740741
1.7B,44,L4,125,42.4074074074,41.8518518519,40.3356481481,39.2592592593
4B,42,L1,125,63.4259259259,62.3148148148,61.4699074074,60.9259259259
4B,42,L2,50,64.0740740741,63.4259259259,62.650462963,62.5925925926
4B,42,L3,150,64.8148148148,63.2407407407,62.3611111111,61.7592592593
4B,42,L4,125,64.6296296296,64.6296296296,62.1180555556,62.5925925926
4B,42,L5,75,63.6111111111,63.4259259259,62.3148148148,62.5
4B,43,L1,150,63.7962962963,62.5,61.3541666667,60.8333333333
4B,43,L3,100,63.7962962963,63.6111111111,62.5347222222,63.0555555556
4B,43,L4,100,64.6296296296,63.8888888889,62.5925925926,62.7777777778
4B,44,L1,125,63.4259259259,62.6851851852,61.412037037,61.3888888889
4B,44,L3,200,64.1666666667,63.3333333333,62.4189814815,63.3333333333
4B,44,L4,150,64.2592592593,63.8888888889,62.5694444444,60.9259259259
8B,42,L1,175,66.6666666667,65.7407407407,64.7916666667,65.2777777778
8B,42,L2,100,68.2407407407,67.5925925926,65.7060185185,64.3518518519
8B,42,L3,150,66.8518518519,66.8518518519,65.3009259259,65.3703703704
8B,42,L4,25,67.2222222222,67.2222222222,65.5671296296,64.6296296296
8B,42,L5,150,66.7592592593,66.2037037037,64.8958333333,65.462962963
8B,43,L1,50,66.4814814815,65.1851851852,64.4675925926,63.6111111111
8B,43,L3,150,67.4074074074,65.462962963,64.6180555556,63.7037037037
8B,43,L4,125,67.3148148148,66.2037037037,65,65
8B,44,L1,125,66.8518518519,65.7407407407,64.4097222222,65.2777777778
8B,44,L3,150,66.4814814815,66.2037037037,65.2314814815,65.9259259259
8B,44,L4,100,66.9444444444,65.6481481481,64.9652777778,65.1851851852
