scale,benchmark,split,condition,step,num_shards,num_problems,num_generations,reliability_pct
1.7B,aime24,id,Base,base,8,30,360,49.72222222
1.7B,aime24,id,L1,200,8,30,360,53.88888889
1.7B,aime24,id,L2,200,8,30,360,53.88888889
1.7B,aime24,id,L3,200,8,30,360,55.0
1.7B,aime24,id,L4,200,8,30,360,53.88888889
1.7B,aime24,id,L5,200,8,30,360,53.61111111
1.7B,aime25,id,Base,base,8,30,360,36.38888889
1.7B,aime25,id,L1,200,8,30,360,43.33333333
1.7B,aime25,id,L2,200,8,30,360,32.5
1.7B,aime25,id,L3,200,8,30,360,37.5
1.7B,aime25,id,L4,200,8,30,360,37.22222222
1.7B,aime25,id,L5,200,8,30,360,40.0
1.7B,autologi-en,ood,Base,base,8,1575,1575,86.73015873
1.7B,autologi-en,ood,L1,200,8,1575,1575,87.42857143
1.7B,autologi-en,ood,L2,200,8,1575,1575,86.22222222
1.7B,autologi-en,ood,L3,200,8,1575,1575,86.53968254
1.7B,autologi-en,ood,L4,200,8,1575,1575,87.61904762
1.7B,autologi-en,ood,L5,200,8,1575,1575,86.53968254
1.7B,gpqa-diamond,ood,Base,base,8,198,1980,36.71717172
1.7B,gpqa-diamond,ood,L1,200,8,198,1980,38.53535354
1.7B,gpqa-diamond,ood,L2,200,8,198,1980,37.97979798
1.7B,gpqa-diamond,ood,L3,200,8,198,1980,39.34343434
1.7B,gpqa-diamond,ood,L4,200,8,198,1980,37.72727273
1.7B,gpqa-diamond,ood,L5,200,8,198,1980,38.18181818
1.7B,hmmt25,id,Base,base,8,30,360,21.66666667
1.7B,hmmt25,id,L1,200,8,30,360,29.72222222
1.7B,hmmt25,id,L2,200,8,30,360,26.38888889
1.7B,hmmt25,id,L3,200,8,30,360,27.5
1.7B,hmmt25,id,L4,200,8,30,360,26.66666667
1.7B,hmmt25,id,L5,200,8,30,360,26.94444444
1.7B,mt-aime2024-7lang,ood,Base,base,8,210,2520,42.61904762
1.7B,mt-aime2024-7lang,ood,L1,200,8,210,2520,46.94444444
1.7B,mt-aime2024-7lang,ood,L2,200,8,210,2520,46.78571429
1.7B,mt-aime2024-7lang,ood,L3,200,8,210,2520,48.65079365
1.7B,mt-aime2024-7lang,ood,L4,200,8,210,2520,47.85714286
1.7B,mt-aime2024-7lang,ood,L5,200,8,210,2520,44.84126984
1.7B,zebralogic-grid-32k,ood,Base,base,8,1000,1000,61.2
1.7B,zebralogic-grid-32k,ood,L1,200,8,1000,1000,65.1
1.7B,zebralogic-grid-32k,ood,L2,200,8,1000,1000,62.6
1.7B,zebralogic-grid-32k,ood,L3,200,8,1000,1000,64.4
1.7B,zebralogic-grid-32k,ood,L4,200,8,1000,1000,62.7
1.7B,zebralogic-grid-32k,ood,L5,200,8,1000,1000,61.3
4B,aime24,id,L1,200,8,30,360,73.33333333
4B,aime24,id,L2,200,8,30,360,74.16666667
4B,aime24,id,L3,200,8,30,360,75.27777778
4B,aime24,id,L4,200,8,30,360,76.11111111
4B,aime24,id,L5,200,8,30,360,73.88888889
4B,aime25,id,L1,200,8,30,360,67.22222222
4B,aime25,id,L2,200,8,30,360,69.44444444
4B,aime25,id,L3,200,8,30,360,66.38888889
4B,aime25,id,L4,200,8,30,360,65.55555556
4B,aime25,id,L5,200,8,30,360,68.88888889
4B,autologi-en,ood,Base,base,8,1575,1575,91.74603175
4B,autologi-en,ood,L1,200,8,1575,1575,92.38095238
4B,autologi-en,ood,L2,200,8,1575,1575,92.12698413
4B,autologi-en,ood,L3,200,8,1575,1575,92.63492063
4B,autologi-en,ood,L4,200,8,1575,1575,92.25396825
4B,autologi-en,ood,L5,200,8,1575,1575,92.76190476
4B,gpqa-diamond,ood,Base,base,8,198,1980,53.68686869
4B,gpqa-diamond,ood,L1,200,8,198,1980,54.74747475
4B,gpqa-diamond,ood,L2,200,8,198,1980,55.95959596
4B,gpqa-diamond,ood,L3,200,8,198,1980,55.25252525
4B,gpqa-diamond,ood,L4,200,8,198,1980,55.50505051
4B,gpqa-diamond,ood,L5,200,8,198,1980,53.28282828
4B,hmmt25,id,L1,200,8,30,360,42.22222222
4B,hmmt25,id,L2,200,8,30,360,44.16666667
4B,hmmt25,id,L3,200,8,30,360,43.61111111
4B,hmmt25,id,L4,200,8,30,360,46.11111111
4B,hmmt25,id,L5,200,8,30,360,44.72222222
4B,mt-aime2024-7lang,ood,Base,base,8,210,2520,65.87301587
4B,mt-aime2024-7lang,ood,L1,200,8,210,2520,67.46031746
4B,mt-aime2024-7lang,ood,L2,200,8,210,2520,68.84920635
4B,mt-aime2024-7lang,ood,L3,200,8,210,2520,67.61904762
4B,mt-aime2024-7lang,ood,L4,200,8,210,2520,69.56349206
4B,mt-aime2024-7lang,ood,L5,200,8,210,2520,68.21428571
4B,zebralogic-grid-32k,ood,Base,base,8,1000,1000,82.2
4B,zebralogic-grid-32k,ood,L1,200,8,1000,1000,82.5
4B,zebralogic-grid-32k,ood,L2,200,8,1000,1000,82.1
4B,zebralogic-grid-32k,ood,L3,200,8,1000,1000,82.6
4B,zebralogic-grid-32k,ood,L4,200,8,1000,1000,82.9
4B,zebralogic-grid-32k,ood,L5,200,8,1000,1000,82.4
8B,aime24,id,L1,200,8,30,360,78.61111111
8B,aime24,id,L2,200,8,30,360,77.77777778
8B,aime24,id,L3,200,8,30,360,77.77777778
8B,aime24,id,L4,200,8,30,360,78.33333333
8B,aime24,id,L5,200,8,30,360,76.66666667
8B,aime25,id,L1,200,8,30,360,71.38888889
8B,aime25,id,L2,200,8,30,360,69.72222222
8B,aime25,id,L3,200,8,30,360,70.27777778
8B,aime25,id,L4,200,8,30,360,69.16666667
8B,aime25,id,L5,200,8,30,360,70.83333333
8B,autologi-en,ood,Base,base,8,1575,1575,92.12698413
8B,autologi-en,ood,L1,200,8,1575,1575,92.63492063
8B,autologi-en,ood,L2,200,8,1575,1575,92.12698413
